操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,002187,广百股份,buy,7.883,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-07,15:00:00,002187,广百股份,sell,7.177,T+2收盘回撤-17.28%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9284.21
2025-01-09,09:30:00,600693,东百集团,buy,6.709,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9279.21
2025-01-10,15:00:00,600693,东百集团,sell,6.532,T+2收盘回撤-2.65%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9078.86
2025-01-14,09:30:00,603777,来伊份,buy,19.400,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9073.86
2025-01-15,15:00:00,603777,来伊份,sell,22.360,T+2收盘回撤15.26%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9956.86
2025-01-17,09:30:00,300894,火星人,buy,15.840,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9951.86
2025-01-21,15:00:00,300894,火星人,sell,14.340,T+2收盘回撤-7.77%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9196.86
2025-02-06,09:30:00,300846,首都在线,buy,14.800,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9191.86
2025-02-07,15:00:00,300846,首都在线,sell,18.520,T+2收盘回撤25.14%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10674.86
2025-02-13,09:30:00,002691,冀凯股份,buy,12.500,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10669.86
2025-02-14,15:00:00,002691,冀凯股份,sell,12.370,T+2收盘回撤-1.04%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10586.86
2025-02-19,09:30:00,000856,冀东装备,buy,14.260,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10581.86
2025-02-20,15:00:00,000856,冀东装备,sell,16.860,T+2收盘回撤18.23%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11876.86
2025-02-24,09:30:00,601177,杭齿前进,buy,17.821,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11871.86
2025-02-25,15:00:00,601177,杭齿前进,sell,17.442,T+2收盘回撤-2.13%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11677.48
2025-02-27,09:30:00,600126,杭钢股份,buy,12.300,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11672.48
2025-02-28,15:00:00,600126,杭钢股份,sell,13.250,T+2收盘回撤7.72%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12332.48
2025-03-04,09:30:00,603275,众辰科技,buy,44.833,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12327.48
2025-03-05,15:00:00,603275,众辰科技,sell,45.281,T+2收盘回撤1.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12412.15
2025-03-07,09:30:00,001368,通达创智,buy,23.413,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12407.15
2025-03-11,15:00:00,001368,通达创智,sell,21.385,T+2收盘回撤-7.46%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,11590.99
2025-03-18,09:30:00,603166,福达股份,buy,15.506,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11585.99
2025-03-19,15:00:00,603166,福达股份,sell,15.158,T+2收盘回撤-2.24%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11407.04
2025-03-27,09:30:00,600156,华升股份,buy,5.942,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11402.04
2025-03-28,15:00:00,600156,华升股份,sell,5.872,T+2收盘回撤-1.18%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11292.19
2025-04-01,09:30:00,000601,韶能股份,buy,5.420,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11287.19
2025-04-02,15:00:00,000601,韶能股份,sell,5.930,T+2收盘回撤9.41%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12098.19
2025-04-07,09:30:00,300240,飞力达,buy,7.500,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12093.19
2025-04-08,15:00:00,300240,飞力达,sell,7.790,T+2收盘回撤3.87%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12436.19
2025-04-10,09:30:00,600598,北大荒,buy,16.667,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12431.19
2025-04-11,15:00:00,600598,北大荒,sell,16.436,T+2收盘回撤-1.39%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12310.58
2025-04-15,09:30:00,603188,亚邦股份,buy,4.330,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12305.58
2025-04-17,15:00:00,603188,亚邦股份,sell,4.480,T+2收盘回撤-6.00%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,12630.58
2025-04-21,09:30:00,000514,渝开发,buy,4.400,"model=mlp_h40_e280_gt5, alpha=2; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12625.58
2025-04-22,15:00:00,000514,渝开发,sell,4.490,T+2收盘回撤2.05%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12818.58
