操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,002245,蔚蓝锂芯,buy,11.745,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-06,15:00:00,002245,蔚蓝锂芯,sell,12.303,T+2收盘回撤4.75%>-5%，T+2收盘卖出 (no intraday-high optimization).,10268.70
2025-01-08,09:30:00,301157,华塑科技,buy,64.704,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10263.70
2025-01-09,15:00:00,301157,华塑科技,sell,65.799,T+2收盘回撤1.69%>-5%，T+2收盘卖出 (no intraday-high optimization).,10368.20
2025-01-15,09:30:00,301399,英特科技,buy,20.031,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10363.20
2025-01-17,15:00:00,301399,英特科技,sell,18.471,T+2收盘回撤-8.54%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,9890.12
2025-01-21,09:30:00,300515,三德科技,buy,18.473,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",9885.12
2025-01-23,15:00:00,300515,三德科技,sell,14.723,T+2收盘回撤-14.53%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,8755.15
2025-02-06,09:30:00,688023,安恒信息,buy,54.700,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",8750.15
2025-02-07,15:00:00,688023,安恒信息,sell,67.200,T+2收盘回撤22.85%>-5%，T+2收盘卖出 (no intraday-high optimization).,9995.15
2025-02-11,09:30:00,300846,首都在线,buy,21.500,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",9990.15
2025-02-12,15:00:00,300846,首都在线,sell,23.000,T+2收盘回撤6.98%>-5%，T+2收盘卖出 (no intraday-high optimization).,10435.15
2025-02-18,09:30:00,301230,泓博医药,buy,42.413,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10430.15
2025-02-20,15:00:00,301230,泓博医药,sell,38.685,T+2收盘回撤-8.35%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,10052.40
2025-02-24,09:30:00,688629,华丰科技,buy,65.420,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10047.40
2025-02-25,15:00:00,688629,华丰科技,sell,65.130,T+2收盘回撤-0.44%>-5%，T+2收盘卖出 (no intraday-high optimization).,10013.40
2025-02-27,09:30:00,000056,皇庭国际,buy,3.500,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10008.40
2025-03-03,15:00:00,000056,皇庭国际,sell,3.540,T+2收盘回撤-8.00%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,10083.40
2025-03-05,09:30:00,603583,捷昌驱动,buy,42.643,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10078.40
2025-03-06,15:00:00,603583,捷昌驱动,sell,49.935,T+2收盘回撤17.10%>-5%，T+2收盘卖出 (no intraday-high optimization).,10802.63
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"model=mlp_h96_e460_gt15, alpha=5; score>=threshold; gap_filter=[None, None], max_board=2; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=70%; T signal -> T+1 open buy, limit-up open is unfilled.",10797.63
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,T+2收盘回撤19.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,12234.63
