操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-06,09:30:00,000852,石化机械,buy,7.550,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-07,15:00:00,000852,石化机械,sell,7.730,T+2收盘上涨2.38%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10026.00
2025-01-09,09:30:00,002313,日海智能,buy,8.700,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",10021.00
2025-01-10,15:00:00,002313,日海智能,sell,8.580,T+2收盘上涨-1.38%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9992.00
2025-01-23,09:30:00,600579,中化装备,buy,10.200,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9987.00
2025-01-24,15:00:00,600579,中化装备,sell,9.270,T+2收盘上涨-9.12%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9889.00
2025-02-05,09:30:00,002394,联发股份,buy,8.019,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9884.00
2025-02-06,15:00:00,002394,联发股份,sell,7.901,T+2收盘上涨-1.48%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9855.30
2025-02-10,09:30:00,000779,甘咨询,buy,9.041,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9850.30
2025-02-11,15:00:00,000779,甘咨询,sell,8.694,T+2收盘上涨-3.84%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9775.90
2025-02-28,09:30:00,600191,华资实业,buy,8.250,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9770.90
2025-03-03,15:00:00,600191,华资实业,sell,7.640,T+2收盘上涨-7.39%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9643.90
2025-03-12,09:30:00,002875,安奈儿,buy,14.000,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9638.90
2025-03-13,15:00:00,002875,安奈儿,sell,13.850,T+2收盘上涨-1.07%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9618.90
2025-03-18,09:30:00,002574,明牌珠宝,buy,7.880,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9613.90
2025-03-19,15:00:00,002574,明牌珠宝,sell,8.000,T+2收盘上涨1.52%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9632.90
2025-03-25,09:30:00,002681,奋达科技,buy,9.120,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9627.90
2025-03-26,15:00:00,002681,奋达科技,sell,8.470,T+2收盘上涨-7.13%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9492.90
2025-04-02,09:30:00,002255,海陆重工,buy,8.251,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9487.90
2025-04-07,15:00:00,002255,海陆重工,sell,8.101,T+2收盘上涨9.16%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,9453.08
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9448.08
2025-04-14,15:00:00,000016,深康佳A,sell,5.280,T+2收盘上涨19.72%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,9851.08
2025-04-18,09:30:00,601086,国芳集团,buy,10.440,"model=i0001c06, alpha=10; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",9846.08
2025-04-22,15:00:00,601086,国芳集团,sell,13.969,T+2收盘上涨21.62%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,10194.04
